,question,CHAPTER,CLASS,CUSTOM,TOPIC,SUBJECT,BLOOM_TAXONOMY,CURRICULUM
33925,<ol><li>Dipole moment of which compound will be maximum?</li></ol>,hydrocarbons,11,jee mains,,Chemistry,Understanding,JEE Main
1002,"<p>48 bags of paddy costs <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>R</mi><mi>s</mi><mn>16</mn><mo>,</mo><mn>800</mn></mrow><annotation encoding=""application/x-tex"">Rs16,800</annotation></semantics></math> then find the cost of 36 bags of paddy</p>
", Direct and Inverse Proportions,8,T.S. SSC Math,,,,
87607,"<p>What does the equation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mi>a</mi>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>y</mi>&nbsp;<mo>−</mo>&nbsp;<mi>b</mi>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>=</mo>&nbsp;<msup><mn>1</mn>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup></math>become when the axes are transferred to parallel axes through the point (a-c, b)?</p>",Some Special Series,11,RD Sharma,,Mathematics,,CBSE
77208,<p>Why have many countries objected to the criterion used for measuring human development?</p>,India Human Development,12,NCERT,,Geography,Understanding,CBSE
15572,"<p>The point on the&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math>-axis which is equidistant from the points&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mo>−</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mn>5</mn>&nbsp;<mo>,</mo>&nbsp;<mn>4</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>is</p>",Coordinate geometry,12,M.L. Aggarwal,,,,
19181,"<p>A book exhibition was held for four days in a school. The number of tickets sold at the counter on the first, second, third and final day was respectively&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1094</mn>&nbsp;<mo>,</mo>&nbsp;<mn>1812</mn>&nbsp;<mo>,</mo>&nbsp;<mn>2050</mn>&nbsp;</math>and 2751 . Find the total number of tickets sold on all the four days.</p>",Knowing Our Numbers,,,,,,
43777,"<p>For a compound the expected structure was fcc lattice, in which A occupies all corner positions and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>B</mi>&nbsp;</math>occupies all face center positions. The molecular formula of such a compound must be&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi>&nbsp;<msub><mi>B</mi>&nbsp;<mrow><mn>3</mn>&nbsp;</mrow></msub></math>. However, the formula is found to be&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><msub><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">B</mi>&nbsp;</mrow><mrow><mn>5</mn>&nbsp;</mrow></msub></math>. This is because</p>",Solid state,11,jee mains,,Chemistry,Understanding,JEE Main
10684,"<p>The locus of a point for which&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;<mo>=</mo>&nbsp;<mn>0</mn>&nbsp;</math>&nbsp;is</p>",Introduction To Three Dimensional Geometry,11,Mathematics NCERT,Introduction To Three Dimensional Geometry,,,
38263,"<p>The arrangement&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi>&nbsp;<mi>B</mi>&nbsp;<mi>C</mi>&nbsp;<mi>A</mi>&nbsp;<mi>B</mi>&nbsp;<mi>C</mi>&nbsp;</math>is referred to as:</p>",Solid state,11,jee mains,,Chemistry,Understanding,JEE Main
70932,<p>Name the five countries whose frontiers meet at the northern apex of India.</p>,Term 1 - India-Location,11,NCERT,,Geography,Understanding,CBSE
44429,<ol><li>A homopolymer has only one type of building block called monomer repeated number of times. A heteropolymer has more than one type of monomer. Proteins are heteropolymers made of:</li></ol>,Biomolecules,11,NEET,,Biology,Understanding,NEET
14664,"<p>A rhombus shaped field has green grass for 18 cows to graze. If each side of the rhombus is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>30</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>and its longer diagonal is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>48</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>, how much area of grass field will each cow be getting ?</p>",Heron's Formula,9,Past Year Paper ,Area Of Rhombus when One Diagonal is Given,,,
28097,<p>How does Kezia begin to see her father as a human being who needs her sympathy?</p>,,9,,,,,
11855,<p>Which of the following statements are not correct?</p>,Chemical Bonding and Molecular Structure,11,NCERT Chemistry Exemplar,,,,
61623,<p>Who was Prophet Muhammad?</p>,The Central Islamic Lands,11,NCERT,,History,Remebering,CBSE
91626,"<ol><li>A wooden block floats in water with two-third of its volume submerged. (a) Calculate the density of wood. (b) When the same block is placed on oil, three-quarter of its volume is immersed in oil. Calculate the density of oil.</li></ol>","Upthrust in Fluids, Archimedes' Principle and Floatation",9,Selina,,Physics,,ICSE
56205,<p>Fill in the blanks:<br>My brother and I ------------- (live/ lived) with our grandparents.</p>,Grammar - Verb,4,NCERT,,English,Remebering,CBSE
2741,"<p>Find the equation of a circle with centre <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>2</mn><mo>,</mo><mn>2</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(2,2)</annotation></semantics></math> and passes through the point <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>4</mn><mo>,</mo><mn>5</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(4,5)</annotation></semantics></math>.</p>
",Conic Sections,11,Mathematics NCERT ,Circle,,,
23861,"<ol><li>Factorise the expression:&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>10</mn>&nbsp;<msup><mi>a</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mn>15</mn>&nbsp;<msup><mi>b</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>20</mn>&nbsp;<msup><mi>c</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup></math></li></ol>",Factorisation,8,NCERT,,Mathematics,Understanding,CBSE
24893,"<ol><li>Find the zeroes of the polynomial&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>7</mn>&nbsp;<msup><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mfrac><mn>11</mn>&nbsp;<mn>3</mn>&nbsp;</mfrac><mi>y</mi>&nbsp;<mo>−</mo>&nbsp;<mfrac><mn>2</mn>&nbsp;<mn>3</mn>&nbsp;</mfrac></math>by factorisation method and verity the relationship between the zeroes and coefficient of the polynomial.</li></ol>", Term 1 2022- POLYNOMIALS,10,NCERT EXEMPLAR,,Mathematics,Applying,CBSE
41966,<p>Match the entities in column I with their character in column II :</p>,Biological Classification,11,NEET,,Biology,Understanding,NEET
101266,"<p>In the electrolytic refining of a metal M, what would you take as anode, cathode and electrolyte?</p>",Metals and Non metals,10,Lakhmir,,Chemistry,,CBSE
66515,"<ol><li>Which of the following element has maximum, first ionisation potential?</li></ol>",Classification of  elements and periodicity in properties,12,NEET,,Chemistry,Understanding,NEET
71662,"<p>The standard e.m.f. of a galvanic cell involving cell reaction with&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>n</mi>&nbsp;<mo>=</mo>&nbsp;<mn>2</mn>&nbsp;</math>is found to be&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0.295</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">V</mi>&nbsp;</mrow></math>at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>25</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;</mrow></math>. The equilibrium constant of the reaction would be: (Given&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>F</mi>&nbsp;<mo>=</mo>&nbsp;<mn>96500</mn>&nbsp;<mrow><mi mathvariant=""normal"">C</mi>&nbsp;</mrow><msup><mrow><mi mathvariant=""normal"">m</mi>&nbsp;<mi mathvariant=""normal"">o</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo>,</mo>&nbsp;<mi>R</mi>&nbsp;<mo>=</mo>&nbsp;<mn>8.314</mn>&nbsp;<msup><mrow><mi mathvariant=""normal"">J</mi>&nbsp;<mi mathvariant=""normal"">K</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><msup><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">m</mi>&nbsp;<mi mathvariant=""normal"">o</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup></math>)</p>",Electrochemistry,12,NEET Exam,,Chemistry,Understanding,NEET
15194,"<p>On a number line, when we add a negative integer, we</p>",Integer,7,Maths,,,,
6904,"<p>Plot the points <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(x, y)</annotation></semantics></math> given in the following table on the plane, choosing suitable units of distance on the axes.</p>
",Coordinate Geometry,9,Mathematics NCERT , Plotting a Point in the Plane if its Coordinates are Given,,,
438,"<p>29. The resistance between points <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>A</mi><annotation encoding=""application/x-tex"">A</annotation></semantics></math> and <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>C</mi><annotation encoding=""application/x-tex"">C</annotation></semantics></math> in the Fig. <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>2</mn><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mstyle mathvariant=""normal""><mi>C</mi><mi>F</mi></mstyle><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mn>.12</mn></mrow><annotation encoding=""application/x-tex"">2(\mathrm{CF}).12</annotation></semantics></math> below is<br />
<br />
(a) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>3</mn><mi>Ω</mi></mrow><annotation encoding=""application/x-tex"">3\Omega</annotation></semantics></math><br />
<br />
(b) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>4</mn><mi>Ω</mi></mrow><annotation encoding=""application/x-tex"">4\Omega</annotation></semantics></math><br />
<br />
(c) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>2</mn><mi>Ω</mi></mrow><annotation encoding=""application/x-tex"">2\Omega</annotation></semantics></math><br />
<br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mi>d</mi><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mn>8</mn><mi>Ω</mi></mrow><annotation encoding=""application/x-tex"">(d)8\Omega</annotation></semantics></math></p>
",3,,physics,,,,
76580,<ol><li>Collectors are the substances which help in attachment of an ore particle to air bubble in the froth. A popular collector used industrially is:</li></ol>,General Principles and processes of isolation of metals,12,NEET,,Chemistry,Understanding,NEET
80416,"<ol><li>Six year hence a man's age will be three times age of his son and three years ago, he was nine times as old as his son. Find their present ages.</li></ol>",Pair of linear equations in two variables,10,RD Sharma,,Mathematics,,CBSE
63366,<p>.</p>,Hydrocarbons,12,NEET,,Chemistry,Understanding,NEET
38606,"<p>The degree of the differential equation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow><mrow><mfrac><mn>3</mn>&nbsp;<mn>2</mn>&nbsp;</mfrac></mrow></msubsup><mo>−</mo>&nbsp;<msubsup><mi>y</mi>&nbsp;<mrow><mn>1</mn>&nbsp;</mrow><mrow><mfrac><mn>1</mn>&nbsp;<mn>2</mn>&nbsp;</mfrac></mrow></msubsup><mo>−</mo>&nbsp;<mn>4</mn>&nbsp;<mo>=</mo>&nbsp;<mn>0</mn>&nbsp;</math>, where&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>y</mi>&nbsp;<mrow><mn>1</mn>&nbsp;</mrow></msub><mo>,</mo>&nbsp;<msub><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msub></math>are&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mi>d</mi>&nbsp;<mi>y</mi>&nbsp;</mrow><mrow><mi>d</mi>&nbsp;<mi>x</mi>&nbsp;</mrow></mfrac><mo>,</mo>&nbsp;<mfrac><mrow><msup><mi>d</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mi>y</mi>&nbsp;</mrow><mrow><mi>d</mi>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup></mrow></mfrac></math>respectively, is:</p>",Differential Equations,12,jee mains,,Mathematics,Understanding,JEE Main
63082,"<p>The oxidation states of the most electronegative element in the products of the reaction between&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">B</mi>&nbsp;<mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><msub><mrow><mi mathvariant=""normal"">S</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub></math>are:</p>",Redox Reaction,12,NEET Exam,,Chemistry,Understanding,NEET
1599,"<p>A college awarded 38 medals for Honesty, 15 for Punctuality and 20 for Obedience. the medals were bagged by a total of 58 students and only 3 students gof medais for all three values, how many students received medals for exactly two of the three values?</p>
",Sets ,11,NCERT ,,,,
71598,<p>Some proteolytic enzymes are:</p>,Plant Growth and Development,11,"Entrance Exam (JEE main, NEET)",,Biology,Understanding,NEET
25418,"<ol><li>A magnetic field in a certain region is given by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>B</mi>&nbsp;<mo>=</mo>&nbsp;<mi>B</mi>&nbsp;<mi>O</mi>&nbsp;<mi>cos</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>O</mi>&nbsp;<mi>t</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mrow><mover><mi>k</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow></math>and a coil of radius a with resistance&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>R</mi>&nbsp;</math>is placed in the&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi>&nbsp;</math>plane with its centre at the origin in the magnetic field (see Fig). Find the magnitude and the direction of the current at (&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;<mo>,</mo>&nbsp;<mn>0</mn>&nbsp;</math>,</li><li>at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>t</mi>&nbsp;<mo>=</mo>&nbsp;<mfrac><mi>π</mi>&nbsp;<mrow><mn>2</mn>&nbsp;<mi>ω</mi>&nbsp;</mrow></mfrac><mo>,</mo>&nbsp;<mi>t</mi>&nbsp;<mo>=</mo>&nbsp;<mfrac><mi>π</mi>&nbsp;<mn>6</mn>&nbsp;</mfrac></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>t</mi>&nbsp;<mo>=</mo>&nbsp;<mfrac><mrow><mn>3</mn>&nbsp;<mi>π</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;<mi>i</mi>&nbsp;<mi>v</mi>&nbsp;</mrow></mfrac></math>.</li></ol>",Term 1 - Electromagnetic Induction,12,NCERT Exemplar,,Physics,Analysing / Evaluating,CBSE
42672,"<ol><li>A circle whose radius is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>8</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">c</mi>&nbsp;<mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>. What is the diameter of a circle?</li></ol>",Geometrical Shapes,4,NCERT,,Mathematics,Remebering,CBSE
2436,"<p>If points <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>1</mn><mo>,</mo><mn>2</mn><mo>,</mo><mn>3</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>,</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>0</mn><mo>,</mo><mo>−</mo><mn>4</mn><mo>,</mo><mn>3</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><mo>,</mo><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>2</mn><mo>,</mo><mn>3</mn><mo>,</mo><mn>5</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow></mrow><annotation encoding=""application/x-tex"">(1,2,3),(0,-4,3),(2,3,5)</annotation></semantics></math> and <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>5</mn><mo>,</mo><mo>−</mo><mn>3</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(1,-5,-3)</annotation></semantics></math> are vertices of tetrahedron, then the point where lines joining the mid-points of opposite edges are concurrent is<br />
<br />
(a) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>2</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(1,-1,2)</annotation></semantics></math><br />
<br />
(b) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>1</mn><mo>,</mo><mn>2</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(-1,1,2)</annotation></semantics></math><br />
<br />
(c) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>1</mn><mo>,</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>2</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(1,1,-2)</annotation></semantics></math><br />
<br />
(d) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>2</mn><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(-1,1,-2)</annotation></semantics></math></p>
",vector,6,ncert,2D,,,
67130,<p>State any two functions of the World Trade Organisation (WTO).</p>,International Trade,12,NCERT,,Geography,Understanding,CBSE
75249,<p>Which of the following compounds possesses zero dipole moment?</p>,Chemical Bonding and Molecular Structure,12,NEET Exam,,Chemistry,Understanding,JEE Main
18078,<p>Why does a fast car slow down if its engine is switched off?</p>,Friction,8,Lakhmir singh solutions,,,,
36628,<p>1.</p>,Hydrocarbons,12,Jee mains,,Chemistry,Understanding,JEE Main
99767,<p>Give the names and formulae of two substances in each case</p><p>anhydrous substance</p>,Water,9,Selina,,Chemistry,,ICSE
43741,<ol><li>Calcination can be employed for the ores<br>i. Limonite<br>ii. Siderite<br>iii. Zincite<br>iv. Haematite<br>v. Calamine<br>vi. Cryolite<br>vii. Cassiterite</li></ol>,General Principles and processes of isolation of metals,11,jee mains,,Chemistry,Understanding,JEE Main
48815,<p>State true or false:<br>The lion sprang upon the deer.</p>,Grammar-Preposition,4,NCERT,,English,Remebering,CBSE
101180,"<p>Correct the following statements.</p><p>Boiling point of water is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>273</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">K</mi>&nbsp;</mrow></math>.</p>",Study of Gas Laws,9,Selina,,Chemistry,,ICSE
97112,<p>In experiment No.5 we are using mercury in the test-tube and the beaker. Why can't we use water instead?</p>,Respiration In Plants,9,Selina,,Biology,,ICSE
35073,"<p>If two distinct chords, drawn from the point&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mi>p</mi>&nbsp;<mo>,</mo>&nbsp;<mi>q</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>on the circle&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<msup><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>=</mo>&nbsp;<mi>p</mi>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mi>q</mi>&nbsp;<mi>y</mi>&nbsp;</math>(where, pq&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>≠</mo>&nbsp;<mn>0</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>are bisected by the&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>X</mi>&nbsp;</math>-axis, then</p>",Circles,12,jee mains,,Mathematics,Understanding,JEE Main
